CustomerID,CreditScore,TransactionAmount,AccountBalance,TransactionType,TransactionTimestamp,PortfolioRiskScore,NumPreviousDefaults,CustomerIncome,InvestmentRatio,Class
66d1feb4-b002-4967-b040-85c7dd998078,611,1735.84,11571.2,1,2025-03-17 00:21:15.904813,13.5,3,196802.21,0.33,0
860a9406-d2f0-49ee-8045-fcc4153d2d43,369,2043.52,27378.81,1,2025-02-19 14:30:14.373990,14.65,5,159566.65,0.46,1
f5012c67-61d4-40f9-9eb8-cd6d8cdc6ba3,518,4910.91,36328.59,0,2025-01-27 07:55:08.309224,17.67,1,108413.27,0.3,0
890e828b-b658-4b2a-84e9-a5f484f2081d,446,7437.16,47014.28,1,2025-01-07 20:08:38.514270,56.1,0,176194.18,0.12,1
b497bf2d-8850-4b61-838a-1a6a45932b9c,618,6124.19,7258.49,0,2025-01-28 13:48:52.018697,95.26,3,93572.79,0.41,1
9903514c-b6f7-4d63-b5f8-5a457a783e81,509,2554.82,15820.57,1,2025-02-15 09:55:16.629495,23.35,5,136241.96,0.3,0
ece9e6f0-f1c0-49f5-b6d2-53a2e48b631d,370,2094.21,7351.49,0,2025-03-25 02:34:57.385233,67.66,2,156704.94,0.15,1
76466a7d-2bb8-4afd-9678-32cdff75ade0,517,5165.65,27517.87,0,2025-02-09 00:25:26.207270,46.86,5,87311.28,0.27,1
bdab60a8-584e-4425-9335-e3ca69eab810,317,5686.27,28512.81,0,2025-02-08 06:16:44.304679,21.01,4,33232.4,0.27,1
f6217bcb-93f2-4023-a6e1-437d8356c3b7,814,4207.69,49636.79,1,2025-02-09 15:09:51.646218,34.17,5,51547.78,0.12,0
63e0bfe0-5217-4e2d-ad02-d1a2a71b6665,775,8297.11,43225.58,1,2025-01-27 07:47:09.735287,72.41,2,35886.19,0.23,1
028b32ad-d19c-4bfc-9359-c8f3c937cc9a,829,3434.65,46415.61,1,2025-03-27 03:08:19.592913,40.3,4,125705.35,0.24,0
d578ba6c-7081-4b49-84f6-8069a599a1b7,697,6418.17,40124.8,1,2025-01-29 14:38:23.078114,83.14,2,31992.23,0.32,1
582667b2-616a-4e02-a359-2bed4f7e6f39,430,2748.54,26806.13,0,2025-02-06 22:21:21.747248,32.82,2,96758.14,0.37,1
07f9e161-1ba3-4e5e-a180-ac1080298c53,678,2980.83,47526.39,1,2025-03-03 21:30:03.650454,29.04,5,150210.85,0.4,0
7c594383-e3b6-473d-9bf6-1bd011139a8b,403,3930.24,36315.32,0,2025-01-13 23:36:08.558323,83.02,3,121148.26,0.28,1
